Age,Q1_2021_Unemployed,Q1_2021_Total_labour_force,Q1_2021_Rate,Q4_2021_Unemployed,Q4_2021_Total_labour_force,Q4_2021_Rate,Q1_2022_Unemployed,Q1_2022_Total_labour_force,Q1_2022_rate,Q1_2022_VS_Q4_2021_CHANGE,Q1_2022_VS_Q1_2021_CHANGE,Q2_2021_Unemployed,Q2_2021_Total_labour_force,Q2_2021_Rate,Q2_2022_Unemployed,Q2_2022_Total_labour_force,Q2_2022_rate,Q2_2022_VS_Q1_2022_CHANGE,Q2_2022_VS_Q2_2021_CHANGE,Q3_2021_Unemployed,Q3_2021_TOTAL_LABOUR_FORCE,Q3_2021_RATE,Q2_2022_UNEMPLOYED,Q2_2022_TOTAL_LABOUR_FORCE,Q2_2022_RATE,Q3_2022_UNEMPLOYED,Q3_2022_TOTAL_LABOUR_FORCE,Q3_2022_RATE,Q3_2022_VS_Q2_2022_CHANGE,Q3_2022_VS_Q3_2023_CHANGE,Q3_2022_Unemployed,Q4_2021_UNEMPLOYED,Q4_2021_TOTAL_LABOUR_FORCE,Q4_2021_RATE,Q4_2022_UNEMPLOYED,Q4_2022_TOTAL_LABOUR_FORCE,Q4_2022_RATE,Q4_2022_VS_Q3_2022_CHANGE,Q4_2022_VS_Q4_2021_CHANGE,Q1_2020_UNEMPLOYED,Q1_2020_TOTAL_LABOUR_FORCE,Q1_2020_RATE,Q4_2020_Unemployed,Q4_2020_TOTAL_LABOUR_FORCE,Q4_2020_RATE,Q1_2021_UNEMPLOYED,Q1_2021_TOTAL_LABOUR_FORCE,Q1_2021_RATE,Q1_2021_VS_Q4_2020_CHANGE,Q1_2021_VS_Q1_2020_CHANGE,Q2_2020_Unemployed,Q2_2020_TOTAL_LABOUR_FORCE,Q2_2020_RATE,Q2_2021_UNEMPLOYED,Q2_2021_TOTAL_LABOUR_FORCE,Q2_2021_RATE,Q2_2021_VS_Q1_2021_CHANGE,Q2_2021_VS_Q2_2020_CHANGE,Q3_2021_UNEMPLOYED,Q3_2020_UNEMPLOYED,Q3_2020_TOTAL_LABOUR_FORCE,Q3_2020_RATE,Q3_2021_VS_Q2_2021_CHANGE,Q3_2021_VS_Q3_2020_CHANGE,Q4_2021_VS_Q3_2021_CHANGE,Q4_2021_VS_Q4_2020_CHANGE,Q1_2019_Unemployed,Q1_2019_Total_labour_force,Q1_2019_Rate,Q4_2019_Unemployed,Q4_2019_Total_labour_force,Q4_2019_Rate,Q1_2020_Unemployed,Q1_2020_Total_labour_force,Q1_2020_Rate,Q1_2020_VS_Q4_2019,Q1_2020_VS_Q1_2019,Q2_2019_UNEMPLOYED,Q2_2019_Total_labour_force,Q2_2019_Rate,Q2_2020_Total_labour_force,Q2_2020_Rate,Q2_2020_VS_Q1_2020,Q2_2020_VS_Q2_2019,Q3_2019_UNEMPLOYED,Q3_2019_TOTAL_LABOUR_FORCE,Q3_2019_RATE,Q2_2020_UNEMPLOYED,Q3_2020_VS_Q2_2020,Q3_2020_VS_Q3_2019,Q3_2020_Unemployed,Q3_2020_Total_labour_force,Q3_2020_Rate,Q4_2020_Total_labour_force,Q4_2020_Rate,Q4_2020_VS_Q3_2020,Q4_2020_VS_Q4_2019
15-19,88139.0,1239043.0,7.1,74957.0,894934.0,8.4,61558.0,1049896.0,5.9,-2.5,-1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-24,405042.0,2412273.0,16.8,361411.0,2483730.0,14.6,446100.0,2444192.0,18.3,3.7,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-29,280883.0,3146247.0,8.9,329393.0,3133366.0,10.5,245513.0,3114423.0,7.9,-2.6,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-34,197173.0,3212986.0,6.1,88746.0,3033896.0,2.9,112541.0,3194756.0,3.5,0.6,-2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35-39,109236.0,2463309.0,4.4,128786.0,2406613.0,5.4,67762.0,2401162.0,2.8,-2.6,-1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40-44,108093.0,2070069.0,5.2,21853.0,2059961.0,1.1,47262.0,2108939.0,2.2,1.1,-3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45-49,59459.0,1641344.0,3.6,35257.0,1696494.0,2.1,13724.0,1664450.0,0.8,-1.3,-2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50-54,7993.0,1188672.0,0.7,12200.0,1249659.0,1.0,34540.0,1173545.0,2.9,1.9,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-59,25024.0,948278.0,2.6,3213.0,1014043.0,0.3,10058.0,1038396.0,1.0,0.7,-1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60-64,7855.0,717503.0,1.1,0.0,743736.0,0.0,7145.0,719154.0,1.0,1.0,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1288899.0,19039724.0,6.8,1055816.0,18716433.0,5.6,1046203.0,18908915.0,5.5,-0.1,-1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
